index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-11-03,2425.23,2430.03,2418.17,2436.79,29882123500.0,227197000000.0,0.0040716013450300004,2390.4380000000015,2358.884000000001,2297.877166666666,2394.618453101419,2355.765143037053,2293.0082750527213
sh000001,2014-10-31,2393.18,2420.18,2384.48,2423.6,32576352200.0,249915000000.0,0.012171089501100001,2362.5200000000013,2355.268000000001,2293.7983333333327,2376.912679652128,2347.947789672532,2288.363468836946
sh000001,2014-10-30,2371.89,2391.08,2365.92,2397.26,29464594300.0,226611000000.0,0.00760462362465,2338.9400000000014,2351.6450000000013,2290.1546666666663,2355.279019478192,2340.344399111746,2283.895109878743
sh000001,2014-10-29,2343.72,2373.03,2339.71,2381.64,26558868700.0,225067000000.0,0.015038896500299999,2321.2080000000014,2349.346000000001,2286.657333333333,2337.378529217288,2335.0038095445616,2280.2617221170717
sh000001,2014-10-28,2294.01,2337.87,2294.01,2338.28,17859035700.0,158148000000.0,0.0207095851141,2311.9120000000016,2347.873500000001,2283.493333333333,2319.5527938259315,2331.001052654515,2277.1170332494808
sh000001,2014-10-27,2293.57,2290.44,2279.84,2293.64,13026156800.0,113380000000.0,-0.005144031134350001,2312.270000000002,2346.4660000000013,2280.828,2310.394190738897,2330.2780055655167,2275.0576096445056
sh000001,2014-10-24,2303.08,2302.28,2296.66,2314.88,13222528100.0,114331000000.0,-5.9936987983999994e-05,2325.5280000000016,2346.437500000001,2278.0974999999994,2320.3712861083454,2334.4714798355712,2274.5361724206696
sh000001,2014-10-23,2322.32,2302.42,2297.33,2329.93,16263630800.0,140597000000.0,-0.0103737159652,2333.308000000002,2347.796000000001,2274.8104999999996,2329.4169291625176,2337.860056660368,2273.595703199423
sh000001,2014-10-22,2339.22,2326.55,2324.59,2352.12,15269842500.0,138525000000.0,-0.0056008209750399995,2344.1240000000016,2348.471500000001,2271.0783333333325,2342.915393743776,2341.590588940407,2272.6186078665587
sh000001,2014-10-21,2355.03,2339.66,2337.55,2361.65,16882828800.0,146786000000.0,-0.00724351728328,2353.5480000000016,2347.538500000001,2266.893833333333,2351.0980906156638,2343.173808828871,2270.7904240647204
sh000001,2014-10-20,2346.05,2356.73,2340.46,2357.51,16002230500.0,141820000000.0,0.00663937563216,2357.5120000000015,2345.383500000001,2262.140833333333,2356.8171359234957,2343.5436834424368,2268.4558608250286
